Crossover Operator,Time Elapsed,Final Fitness,Num Iterations,Final Num Ingredients,Num Requirements Met,Num Requirements Unmet,Mutation Operator,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
,8.214303731918335,55950.18050430404,,,,,Single Point,20615.249999999975,500.0,1104.0,4.0
,7.436651706695557,60602.636674485206,,,,,Single Point,25592.999999999993,500.0,1191.0,4.0
,6.132305383682251,38198.56293369221,,,,,Single Point,14249.999999999989,500.0,755.0,4.0
,3.974479913711548,70002.94469349323,,,,,Single Point,28040.25000000002,294.0,1377.0,7.0
,6.8187096118927,56728.66404306256,,,,,Single Point,24098.249999999985,500.0,1115.0,8.0
,3.453691005706787,60637.94881437234,,,,,Single Point,25377.749999999956,294.0,1192.0,5.0
,5.954455852508545,41225.56343902997,,,,,Single Point,14240.999999999996,500.0,816.0,4.0
,2.4244589805603027,113433.90783575636,,,,,Single Point,34393.50000000003,211.0,2243.0,1.0
,5.459312677383423,58484.53893911248,,,,,Single Point,24363.750000000033,463.0,1150.0,6.0
,3.3476479053497314,70788.97679180033,,,,,Single Point,28656.750000000033,282.0,1392.0,5.0
,4.956681966781616,60835.020213243755,,,,,Single Point,20884.50000000003,381.0,1202.0,4.0
,6.162822484970093,40406.08217106144,,,,,Single Point,15353.999999999996,500.0,798.0,5.0
,6.000992774963379,30093.1473295276,,,,,Single Point,11764.500000000005,500.0,595.0,5.0
,2.1295862197875977,108527.43458805814,,,,,Single Point,41993.99999999996,179.0,2134.0,3.0
,1.9476640224456787,135796.20082654938,,,,,Single Point,45037.49999999999,160.0,2679.0,1.0
,2.874159097671509,123653.47799465152,,,,,Single Point,48384.749999999956,246.0,2430.0,2.0
,2.627946376800537,89765.68994891348,,,,,Single Point,30233.24999999993,214.0,1772.0,2.0
,3.973949909210205,89206.04571071925,,,,,Single Point,33757.50000000004,301.0,1756.0,5.0
,3.412165403366089,73395.42164627016,,,,,Single Point,31251.749999999913,284.0,1441.0,3.0
,4.342348575592041,61059.76095425949,,,,,Single Point,30960.00000000001,352.0,1193.0,6.0
,5.888814687728882,43501.50870517523,,,,,Single Point,15610.500000000022,452.0,860.0,3.0
,3.6158714294433594,71377.08461033314,,,,,Single Point,27794.250000000007,240.0,1405.0,5.0
,4.556664705276489,66959.20560082914,,,,,Single Point,30804.749999999975,360.0,1312.0,6.0
,3.817464828491211,75407.65580130434,,,,,Single Point,28658.250000000036,303.0,1485.0,6.0
,4.868114948272705,61606.83873121225,,,,,Single Point,19053.000000000033,376.0,1220.0,6.0
,6.238173007965088,50197.34758993912,,,,,Single Point,15504.749999999973,500.0,995.0,4.0
,2.8908042907714844,95067.05249717602,,,,,Single Point,32280.750000000033,234.0,1876.0,4.0
,3.799765110015869,86753.92513602365,,,,,Single Point,31987.49999999998,319.0,1709.0,4.0
,3.6094720363616943,69726.79469349323,,,,,Single Point,23898.000000000084,301.0,1377.0,4.0
,6.632478475570679,56744.83544193397,,,,,Single Point,16891.49999999997,490.0,1125.0,4.0
,3.2788586616516113,67516.56053845907,,,,,Single Point,23521.50000000002,255.0,1333.0,3.0
,3.595963954925537,82867.26464448817,,,,,Single Point,29557.500000000007,290.0,1634.0,8.0
,4.220275163650513,79346.48769171121,,,,,Single Point,24421.499999999953,342.0,1570.0,3.0
,0.7561275959014893,171354.70646278173,,,,,Single Point,62157.000000000226,65.0,3372.0,3.0
,5.012255907058716,65714.00992218345,,,,,Single Point,21066.00000000005,418.0,1300.0,4.0
,4.500332355499268,80485.01979001831,,,,,Single Point,30325.499999999964,371.0,1585.0,7.0
