Penalty Size,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
20,7.768372297286987,28199.110293590566,10097.999999999964,300,559,3
20,7.171041250228882,28442.3363223666,13003.500000000016,300,560,1
20,7.042699575424194,30667.25861728789,12938.999999999998,300,605,4
20,7.178824186325073,27259.54373929396,11604.00000000001,300,538,3
20,7.332594394683838,29242.75689788717,10151.99999999996,300,580,0
20,6.905145645141602,31489.20316403244,11124.750000000018,300,624,3
20,6.877023696899414,29791.763070543344,13929.750000000011,300,586,3
20,7.057258367538452,31301.723020152294,12034.500000000024,300,619,1
20,7.189152479171753,29297.654840335115,12461.250000000036,300,578,2
20,6.979999542236328,29406.634984215256,10381.500000000004,300,583,2
20,7.216883659362793,30170.273358303635,12178.499999999996,300,596,1
20,12.190614938735962,28558.764408694686,12521.250000000007,300,563,2
20,12.703543663024902,30469.054502183775,12943.5,300,601,1
20,12.65145492553711,28246.60823603851,12296.250000000005,300,557,0
20,9.863916158676147,31498.299048928322,14238.750000000035,300,620,2
20,8.13409686088562,31894.635365464637,11995.500000000015,300,631,4
20,7.658714771270752,33209.83402731331,14602.5,300,654,3
20,7.950319051742554,31843.985365464636,11235.750000000004,300,631,4
20,7.819497346878052,30890.912732392007,13316.249999999985,300,609,3
20,7.772239685058594,30620.734646063924,11496.749999999998,300,606,1
20,7.661755800247192,29309.054840335117,12632.249999999995,300,578,1
20,8.17852258682251,31252.220962600237,12780.749999999949,300,617,4
20,7.58673095703125,29595.91307054334,10991.999999999984,300,586,2
20,7.8565943241119385,27175.94373929396,10350.000000000025,300,538,2
20,7.45902681350708,31584.279192808463,11806.500000000004,300,625,2
20,7.545297622680664,29490.211012991287,10892.249999999962,300,584,3
20,7.567572116851807,28462.040437470718,10327.500000000022,300,564,2
20,7.459035396575928,32115.039480568757,12324.000000000016,300,635,1
20,7.3479602336883545,32424.52168200096,11755.499999999984,300,642,2
20,8.379685163497925,27659.075055830286,9425.999999999995,300,549,2
20,7.788536787033081,25609.512876013105,9137.999999999976,300,508,3
20,7.2386674880981445,30675.960674839946,11580.750000000005,300,607,1
50,7.397874116897583,34051.06829228706,15950.250000000005,300,669,4
50,7.410897970199585,29910.88246142874,14079.749999999993,300,588,2
50,7.37984824180603,30927.087841506614,15227.249999999976,300,607,4
50,7.46008825302124,31312.88146260024,13572.75000000004,300,617,2
50,7.521662950515747,26664.105273538928,12017.250000000004,300,525,2
50,7.647113800048828,28631.557770804047,12659.250000000018,300,564,3
50,7.97620415687561,26749.492721976374,10337.250000000004,300,529,1
50,7.488300800323486,27106.573894632547,11252.250000000013,300,535,0
50,7.520756483078003,29149.77011611639,11547.749999999985,300,576,0
50,7.411946058273315,29681.36373721001,12117.750000000016,300,586,1
50,7.599445343017578,28980.23266767894,11966.249999999993,300,572,1
50,7.4906463623046875,27806.676826272975,10650.749999999996,300,550,3
50,7.881600379943848,28087.38287392915,10419.749999999998,300,556,0
50,7.945606231689453,29327.448202444477,11991.749999999998,300,579,3
50,8.156894207000732,29114.51075400703,11759.250000000004,300,575,3
50,6.700112819671631,29753.432461428736,11717.999999999976,300,588,4
50,6.88477087020874,32390.537429006206,13366.499999999955,300,639,3
50,7.126410484313965,32611.21551533429,14444.250000000045,300,642,2
50,8.23839545249939,31246.512738381512,14065.500000000031,300,615,2
50,7.426910638809204,31507.18763525641,12022.500000000015,300,623,2
50,8.588019847869873,28612.517132913403,11633.250000000002,300,565,2
50,7.9853715896606445,33565.91211963089,13137.75,300,663,2
50,7.015505075454712,31167.381462600235,11390.250000000011,300,617,2
50,6.921980857849121,31594.79699736577,12592.499999999973,300,624,0
50,6.81238865852356,30454.291030959805,11855.99999999999,300,602,2
50,6.625686883926392,26801.5864461951,9638.249999999982,300,531,2
50,7.221167087554932,30331.05735830363,14459.250000000004,300,596,3
50,7.142340421676636,28488.6203223666,13476.750000000035,300,560,2
50,7.1592442989349365,28372.1203223666,11729.250000000004,300,560,3
50,7.236675262451172,31737.325083693864,12498.000000000011,300,627,0
50,6.969961404800415,29662.19501299129,13310.999999999995,300,584,1
50,6.939490795135498,30243.07927197555,15360.750000000022,300,593,2
50,7.474922180175781,29517.376288772568,12619.499999999989,300,582,1
50,7.817589044570923,27837.73623994489,13337.250000000002,300,547,1
50,8.068199634552002,30348.957358303633,14727.750000000022,300,596,3
50,7.521254539489746,27920.964274710426,9404.249999999987,300,554,1
50,7.171638250350952,27187.02075674191,11718.750000000015,300,536,3
50,8.191004514694214,30084.410547756826,14461.500000000002,300,591,2
50,7.47274923324585,29749.73246142874,11662.500000000007,300,588,1
50,7.046395540237427,27974.81741260106,10952.250000000015,300,553,2
50,8.34046983718872,30185.18863408491,13751.999999999985,300,594,1
50,7.48960542678833,26076.780376664025,9128.999999999984,300,517,1
50,7.680914878845215,32688.343601662375,13368.750000000013,300,645,3
50,8.106701850891113,28794.354581350857,11399.250000000011,300,569,2
50,7.52163028717041,30163.007358303632,11938.499999999973,300,596,3
50,8.144549369812012,25732.35861767977,10624.499999999989,300,508,2
50,7.9408111572265625,31227.45337627215,14523.749999999975,300,614,2
50,7.951390743255615,30852.125289944062,11126.25,300,611,1
50,7.613170385360718,30647.369117287893,12519.750000000004,300,605,2
50,7.471265554428101,30301.32608252235,12532.500000000015,300,598,3
80,7.236894607543945,31934.439698797967,12363.749999999973,300,631,3
80,7.5013463497161865,29530.650926663206,13390.499999999976,300,581,4
80,6.937148332595825,26891.903659085736,11434.499999999995,300,530,0
80,8.007424116134644,32721.20204411032,15238.500000000007,300,643,3
80,7.837397575378418,32137.982394240673,14672.999999999987,300,632,1
80,8.145325183868408,30116.27788109016,14795.99999999999,300,591,3
80,7.3240532875061035,29940.37057653285,11419.499999999996,300,592,2
80,7.0916428565979,31388.320048928326,12354.749999999975,300,620,3
80,7.898240089416504,30209.813271975545,14723.249999999982,300,593,2
80,7.996520519256592,29198.737449449723,12101.250000000025,300,576,3
80,7.810688734054565,31080.500399058674,15920.249999999998,300,609,2
80,7.4663004875183105,30888.79309450137,12300.750000000002,300,610,3
80,8.059603691101074,28814.481276793555,10764.749999999984,300,570,1
80,8.308377742767334,30746.96500817328,12405.00000000002,300,607,2
80,8.84859037399292,29155.444754007036,12189.749999999982,300,575,1
80,8.590230941772461,31283.29196260024,13011.00000000001,300,617,3
80,8.567087411880493,30359.208835517107,11051.999999999973,300,601,3
80,8.726746082305908,29358.022840335118,13014.749999999975,300,578,2
80,8.300373315811157,29554.82170843398,10801.49999999998,300,585,2
80,7.957813501358032,28707.87510413738,13592.999999999996,300,564,2
80,8.442679643630981,30234.091358303634,12873.750000000022,300,596,2
80,8.666717767715454,29111.559363121643,13007.250000000007,300,573,3
80,9.203461647033691,30124.341358303634,11227.499999999987,300,596,3
80,7.282577037811279,29327.715535777814,11822.250000000015,300,579,1
80,7.423317909240723,28733.638581350857,10289.999999999987,300,569,2
80,7.958527326583862,28307.9616269239,11283.750000000025,300,559,2
80,9.193457126617432,32736.9155213238,11754.75000000001,300,648,3
80,8.043129920959473,32439.81665322493,12505.500000000011,300,641,3
80,7.844713926315308,29294.515535777813,11324.250000000011,300,579,3
80,9.345835447311401,31409.71274437102,11931.750000000015,300,621,3
80,9.085212230682373,27742.21678616886,12387.75,300,546,1
80,9.272726058959961,29922.37057653285,11149.499999999958,300,592,2
80,8.879119634628296,26910.503659085738,11713.500000000002,300,530,2
80,7.234783411026001,26928.72635452843,11249.250000000015,300,531,2
80,6.655946493148804,29140.53014489242,10490.249999999982,300,577,2
80,6.845209121704102,30511.501530959806,12592.500000000005,300,602,2
80,7.255280017852783,30000.513271975546,11583.75000000002,300,593,2
80,7.365755558013916,27848.507567939643,11031.749999999985,300,550,1
80,7.916596412658691,27319.089831741912,13416.750000000011,300,536,2
80,8.186766862869263,31059.985789944065,14124.749999999962,300,611,4
80,10.155657291412354,32800.28743499571,14936.999999999984,300,645,4
80,7.915048599243164,28367.361626923903,12174.750000000015,300,559,2
80,8.211913347244263,27784.107567939638,10065.749999999978,300,550,3
80,7.631346940994263,29167.737449449723,11636.250000000005,300,576,2
80,8.100082159042358,27603.894090726168,11050.500000000002,300,545,3
80,7.346941232681274,29494.993622105892,12117.75000000001,300,582,3
80,8.564395427703857,29439.8509266632,12028.499999999975,300,581,1
80,7.727957248687744,30556.1369218452,11774.249999999984,300,604,4
80,7.475543737411499,26979.39904997113,11271.749999999987,300,532,2
80,8.225443363189697,26000.540532002608,9865.499999999984,300,514,2
100,9.151159763336182,30211.245609301885,11707.49999999999,300,597,1
100,7.380094051361084,28706.52966368594,10487.25,300,568,2
100,8.578341007232666,28523.853326359604,10691.999999999975,300,564,2
100,7.7574827671051025,29609.035012991288,12245.249999999978,300,584,2
100,7.1428163051605225,27242.025799406823,11336.25000000002,300,537,3
100,7.265813827514648,31391.563880265156,13812.750000000033,300,618,2
100,7.080211639404297,29625.429765986042,10282.500000000007,300,587,2
100,7.280717134475708,31754.771801923078,15542.250000000015,300,623,4
100,7.536029577255249,30029.224518980795,14130.749999999995,300,590,2
100,7.378894567489624,30360.72719363347,13213.499999999995,300,598,2
100,7.065631866455078,27302.08238373841,11501.249999999969,300,538,1
100,7.096910238265991,27288.538968069992,10562.25000000001,300,539,4
100,7.333286762237549,26133.33094411197,10894.499999999984,300,515,0
100,7.598446607589722,29113.006001012276,13639.499999999993,300,572,3
100,7.3189404010772705,28543.72174202802,11726.249999999993,300,563,2
100,7.093722105026245,30147.132440638714,12218.250000000024,300,595,1
100,7.158583879470825,27774.86139571742,9762.749999999962,300,550,2
100,7.067162036895752,28299.519067375342,13953.000000000025,300,555,3
100,7.23577880859375,29946.49293464921,13626.000000000002,300,589,3
100,8.45360279083252,32058.374476575747,14146.500000000022,300,631,3
100,6.90721869468689,29362.92709133337,12234.749999999995,300,579,3
100,8.598244905471802,27344.688968069997,11404.499999999989,300,539,2
100,8.23284125328064,28242.0638203701,10882.500000000004,300,558,2
100,8.565232038497925,31627.66655491783,11404.500000000015,300,626,2
100,7.675459384918213,27343.76921507524,13598.25,300,536,1
100,7.461594581604004,29348.50867566495,11282.249999999962,300,580,3
100,7.33043909072876,30258.9640249703,13159.500000000002,300,596,2
100,7.6172473430633545,32929.62457887585,13084.499999999975,300,650,3
100,7.800945520401001,29980.524518980794,13400.24999999999,300,590,2
100,7.611171007156372,30345.608777965055,12250.500000000018,300,599,4
100,7.19181489944458,31762.377048928323,17887.499999999964,300,620,4
100,7.283206939697266,29347.30867566495,11264.250000000022,300,580,2
100,7.993659257888794,29364.090259996537,10779.749999999975,300,581,1
100,7.2371344566345215,32888.5798258811,14699.999999999989,300,647,2
100,7.301354646682739,32048.419229570503,11766.000000000024,300,634,2
100,7.315521717071533,29311.708675664948,10730.249999999996,300,580,2
100,7.756039142608643,30836.49803694931,12924.000000000016,300,608,4
100,7.315213203430176,27223.932383738404,10329.00000000001,300,538,1
100,7.490649938583374,27923.46798004901,11256.000000000005,300,551,3
100,7.238808631896973,28757.91649502277,12730.500000000025,300,566,2
100,6.923993349075317,31158.52437427565,14779.499999999969,300,612,3
100,7.2553486824035645,31040.742789944063,13756.499999999969,300,611,2
100,7.267885208129883,28537.403326359603,10895.249999999975,300,564,2
100,6.90535306930542,32267.14556689684,12072.000000000011,300,638,2
100,7.377366304397583,30076.969271975548,12638.25000000001,300,593,4
100,7.3532185554504395,29024.787585343864,11579.999999999973,300,573,1
100,8.053672790527344,30309.608777965055,11710.500000000011,300,599,2
100,7.836466073989868,26729.116540422572,10265.249999999978,300,528,3
100,8.871608257293701,31240.650711601982,13036.500000000005,300,616,4
100,7.8904502391815186,33282.582500533776,14660.25000000002,300,655,3
120,8.44795036315918,31967.647834692107,14940.000000000007,300,628,3
120,7.772029638290405,31973.129727574007,12047.999999999987,300,632,2
120,6.9185309410095215,28609.872495022773,10372.500000000007,300,566,0
120,7.2825188636779785,29276.027227227503,13019.250000000004,300,576,1
120,7.183257818222046,32073.42972757401,13552.5,300,632,3
120,7.220314025878906,28983.095334345617,11563.49999999998,300,572,3
120,7.6624674797058105,28447.808709258985,13818.000000000004,300,558,1
120,8.673362970352173,28396.520128920405,10845.000000000007,300,561,1
120,6.9075117111206055,28762.092968243243,11921.250000000016,300,567,4
120,8.326978921890259,27291.379544849522,11155.500000000011,300,538,2
120,8.309521913528442,32098.100200794473,13179.000000000011,300,633,2
120,9.17233419418335,29561.79101299129,11429.249999999975,300,584,1
120,7.94415807723999,25607.553455353434,10857.750000000002,300,504,1
120,7.494902610778809,30396.10716485744,14394.749999999987,300,597,3
120,7.1409032344818115,27710.734277054256,10104.749999999976,300,548,3
120,7.306232929229736,31076.067897062178,17181.0,300,607,4
120,7.144262313842773,28616.552021802298,11207.249999999973,300,565,3
120,7.158373594284058,30628.0474238417,11204.24999999997,300,606,2
120,7.897292852401733,27871.665223495198,11050.499999999995,300,550,2
120,7.852196216583252,30891.32931672359,12179.250000000007,300,610,1
120,7.990351676940918,30240.43669163697,12794.250000000007,300,596,2
120,7.40973973274231,30505.08600418028,11590.49999999996,300,603,2
120,7.536207675933838,29206.4272272275,11975.249999999998,300,576,2
120,7.740221977233887,27599.362857392833,10636.499999999982,300,545,1
120,7.567499399185181,32068.850200794473,12740.24999999998,300,633,2
120,7.6916797161102295,25312.060616030594,10830.000000000004,300,498,3
120,7.283630847930908,28621.852021802297,11286.749999999996,300,565,2
120,7.6306633949279785,26815.143866203838,12821.250000000022,300,526,1
120,7.797104597091675,28688.752021802295,12290.25000000001,300,565,2
120,6.611637115478516,32358.052566896848,13360.500000000022,300,638,4
120,6.661355495452881,23699.64281401099,8663.249999999985,300,468,2
120,6.768949508666992,29598.547700447973,17122.500000000047,300,577,2
120,7.0006263256073,29139.327227227503,10968.750000000038,300,576,4
120,6.671225070953369,28189.438236038513,10676.999999999985,300,557,2
120,6.577202081680298,31200.60215604643,12356.999999999996,300,616,4
120,6.716775417327881,27001.23670552668,11207.99999999999,300,532,2
120,8.200354099273682,31941.188781133056,13056.000000000015,300,630,3
120,8.164859294891357,29505.759120109393,13527.000000000024,300,580,1
120,8.089872598648071,30250.086691636967,12938.999999999985,300,596,2
120,7.713245630264282,33962.455343849615,17350.50000000001,300,665,3
120,8.202268838882446,30390.85716485744,14315.999999999967,300,597,4
120,7.662575960159302,27256.74859840858,12104.24999999998,300,536,0
120,7.128310203552246,32334.17304011732,12258.749999999995,300,639,4
120,7.14183497428894,29143.40675400703,11764.499999999989,300,575,4
120,7.094384431838989,30659.60647740075,13164.749999999982,300,604,2
120,8.056142807006836,32456.634459778736,11865.00000000002,300,642,3
120,7.914275646209717,32229.31162045589,12916.499999999993,300,636,3
120,7.001526594161987,25929.38676789674,10546.499999999998,300,511,1
120,6.955885410308838,29408.13864688892,12797.249999999987,300,579,4
120,7.692176342010498,31588.545468589746,12971.249999999996,300,623,3
