Initialization Method,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
Latin Hypercube,15.369791269302368,39309.68350921277,16029.000000000015,500,775,3
Latin Hypercube,16.82811713218689,40285.978055957334,16530.000000000015,500,794,2
Latin Hypercube,18.08014225959778,47456.37720932623,18181.36462075161,500,936.2013924525338,6
Latin Hypercube,17.79887866973877,36976.06015673943,16010.99999999996,500,728,2
Latin Hypercube,15.692844867706299,39197.98145166073,15842.25000000003,500,773,3
Latin Hypercube,15.181929588317871,38589.3951351244,14901.749999999998,500,762,2
Latin Hypercube,15.251582145690918,41072.308295149815,15666.000000000015,500,811,4
Latin Hypercube,17.613508701324463,42466.686072102595,16473.00000000006,500,838,3
Latin Hypercube,14.729284524917603,36446.07589775518,14760.750000000016,500,719,4
Latin Hypercube,16.234339237213135,38738.9732214525,14912.250000000002,500,765,3
Latin Hypercube,14.541049003601074,39046.80336533264,15807.749999999975,500,770,2
Latin Hypercube,15.228461265563965,40286.65408473336,15795.75000000004,500,795,3
Good Foods,15.023206949234009,40993.7041800457,17465.999999999996,500,807,2
Good Foods,15.630008935928345,39772.59173942102,17017.500000000047,500,783,3
Good Foods,15.64039397239685,40920.7541800457,16371.74999999999,500,807,3
Good Foods,14.91523289680481,41692.92269801423,14548.500000000022,500,825,3
Good Foods,14.264060974121094,41656.92269801423,14008.500000000024,500,825,3
Good Foods,15.700682878494263,38023.734847364125,13860.749999999987,500,752,3
Good Foods,15.914391279220581,37538.19647327574,16254.750000000038,500,739,3
Good Foods,19.750911474227905,37264.144415723684,13632.749999999993,500,737,3
Good Foods,22.01821279525757,42257.2329857745,15565.500000000015,500,835,3
Good Foods,14.585871934890747,36768.53207041135,15131.249999999993,500,725,3
Good Foods,15.230393886566162,42202.12784189437,18462.749999999978,500,830,3
Good Foods,16.05862021446228,35798.01560999487,12483.749999999998,500,709,3
Good Foods,15.890621185302734,35301.127235906504,14707.500000000031,500,696,2
Good Foods,14.559814453125,40818.80418004571,14842.499999999973,500,807,4
Good Foods,14.145162105560303,41747.269611686126,17597.999999999964,500,822,3
Good Foods,14.17729663848877,39261.88350921278,15312.000000000013,500,775,4
Good Foods,13.766372919082642,34854.31900569827,13960.499999999987,500,688,2
Good Foods,13.474993228912354,39499.585566764836,17388.749999999956,500,777,3
Good Foods,13.471295833587646,35954.11560999488,14825.250000000025,500,709,1
Good Foods,13.652335166931152,37133.0663293956,13899.75000000001,500,734,3
Good Foods,13.596795320510864,42192.42989944642,16827.750000000007,500,832,3
Good Foods,13.858871698379517,43539.91076272729,14697.00000000002,500,862,6
Good Foods,13.76640248298645,38046.310876140145,13454.999999999996,500,753,3
Good Foods,13.689924478530884,41829.771669238195,17346.000000000073,500,824,3
Good Foods,13.43451452255249,42845.14327353479,16936.500000000007,500,845,3
Good Foods,13.7011079788208,39221.259537988815,13958.250000000007,500,776,3
Good Foods,13.430535078048706,38007.75470348397,17343.000000000004,500,747,4
Good Foods,14.065627813339233,39534.54173942101,13446.750000000018,500,783,3
Good Foods,16.607364177703857,44675.68030947183,17582.99999999998,500,881,2
Good Foods,13.64142370223999,40947.80623759776,15288.000000000004,500,809,1
Good Foods,13.437134742736816,36896.036185515455,14066.250000000022,500,729,4
Good Foods,15.00014042854309,36747.382070411346,14814.000000000015,500,725,3
Good Foods,17.964489936828613,38088.31293369221,12596.249999999982,500,755,3
Good Foods,16.34589147567749,40759.652122493644,15444.749999999984,500,805,3
Good Foods,16.247912645339966,41004.85829514981,14654.249999999985,500,811,3
Good Foods,16.959256649017334,41236.91343902996,14411.249999999987,500,816,3
Good Foods,13.844289064407349,38696.54925022852,13531.500000000013,500,766,4
Good Foods,16.72490906715393,39590.537624316894,17264.250000000025,500,779,2
Good Foods,14.474409818649292,38521.11910634838,14621.999999999985,500,761,3
Good Foods,13.312645196914673,38275.26499124426,13911.750000000025,500,757,3
Good Foods,14.113917827606201,39273.90748043675,16236.749999999969,500,774,2
Good Foods,13.840951442718506,34201.45666038593,13100.250000000004,500,676,4
Good Foods,14.159405946731567,42052.22475556628,18448.499999999945,500,827,3
Good Foods,13.601139783859253,40968.653151269675,17835.000000000007,500,806,3
Good Foods,13.652133703231812,35196.15120713048,13877.250000000016,500,695,3
Good Foods,13.504318714141846,36522.22795530722,14414.250000000055,500,721,4
Good Foods,13.392048358917236,40022.34379697307,19274.999999999985,500,785,4
Good Foods,13.733750581741333,38703.42527900455,12890.249999999996,500,767,4
Good Foods,13.601311922073364,40726.15109371762,15687.000000000002,500,804,3
Good Foods,13.063184022903442,41029.65829514981,15026.250000000011,500,811,4
