Crossover Operator,Time Elapsed,Final Fitness,Final Cost,Number of Iterations,Final Quantity,Number of Requirements met
Uniform,3.214075803756714,46131.408086424606,19310.249999999964,300,908,2
Uniform,3.115384578704834,44945.33339579993,19393.500000000007,300,884,7
Uniform,3.155989170074463,41252.057266373784,19106.999999999985,300,810,4
Uniform,3.016468048095703,48227.89820868973,21711.749999999916,300,947,4
Uniform,3.3205373287200928,45956.00602887255,18168.749999999978,300,906,2
Uniform,2.9822628498077393,40064.09791207719,16923.750000000004,300,789,4
Uniform,3.0492658615112305,40054.97599840527,14553.749999999995,300,792,3
Uniform,3.6218459606170654,45700.10088499241,18053.999999999993,300,901,6
Uniform,3.142805814743042,35584.48340856268,14491.499999999975,300,702,4
Uniform,3.0826101303100586,47050.82763316916,18951.000000000004,300,927,2
Uniform,3.293823003768921,44866.8792806958,21195.749999999985,300,880,2
Multi Point,3.1638224124908447,43556.75356129508,20163.00000000002,300,855,4
Multi Point,3.2095348834991455,42043.128870670385,15333.000000000004,300,831,3
Multi Point,3.0103893280029297,37370.62044449972,14485.499999999976,300,738,3
Multi Point,2.8880317211151123,38091.68278981206,16368.749999999973,300,750,3
Multi Point,3.0084455013275146,38056.95881858809,15103.49999999999,300,751,5
Multi Point,3.0541749000549316,37486.59647327575,15480.749999999973,300,739,2
Multi Point,2.920018434524536,38652.57116390044,15105.000000000015,300,763,4
Multi Point,3.0393898487091064,36157.57178265105,13410.749999999996,300,715,4
Multi Point,3.057922601699829,40946.60315126967,17504.25000000001,300,806,3
Multi Point,2.998133420944214,39727.34173942102,16338.750000000013,300,783,3
Multi Point,3.0560858249664307,40503.35819983747,16068.75,300,799,2
Multi Point,3.08089280128479,41938.92064046216,19727.999999999938,300,823,4
Multi Point,2.9377357959747314,44744.279280695795,19356.749999999956,300,880,5
Multi Point,2.947446346282959,39324.859537988814,15512.250000000004,300,776,4
Multi Point,2.850749969482422,43086.79533108684,19071.750000000055,300,847,3
Multi Point,2.9049198627471924,41375.0113814779,17972.249999999975,300,814,3
Multi Point,3.0255775451660156,40957.35006494159,19899.750000000022,300,803,3
Multi Point,2.8651983737945557,38458.71499124427,16663.499999999964,300,757,2
Multi Point,2.8626620769500732,36969.410156739425,15911.250000000013,300,728,3
Multi Point,2.9021406173706055,40509.430113509385,18392.99999999998,300,796,4
Multi Point,2.995621919631958,43860.21179150331,18756.749999999978,300,863,6
Multi Point,2.97874116897583,40882.25109371761,18028.499999999985,300,804,4
Multi Point,3.226443290710449,40976.45623759776,15717.749999999995,300,809,2
Multi Point,3.076080799102783,41435.66446780598,16647.75000000001,300,817,3
Multi Point,2.939014196395874,40312.228055957334,16923.750000000047,300,794,3
Multi Point,2.9837446212768555,39321.23556676484,14713.499999999993,300,777,4
Multi Point,2.80465030670166,40690.25109371763,15148.500000000004,300,804,3
Multi Point,2.9337151050567627,39180.70542288469,16327.500000000015,300,772,3
Multi Point,3.1059188842773438,42509.03504332656,17852.999999999964,300,837,4
Multi Point,2.8501572608947754,45146.14059723212,17192.249999999993,300,891,4
Multi Point,2.870222568511963,43917.90870517523,21856.500000000015,300,860,4
Multi Point,3.0885355472564697,38641.86910634838,16433.24999999998,300,761,5
Multi Point,2.941840171813965,37803.10264593192,15762.000000000031,300,745,3
Multi Point,2.916213035583496,41864.02372679024,16370.249999999984,300,826,2
Multi Point,3.0419108867645264,41195.5113814779,15279.749999999962,300,814,4
Multi Point,3.005150079727173,39769.04379697306,15475.500000000013,300,785,2
Multi Point,2.8927736282348633,42805.23710087862,20806.50000000002,300,839,3
Multi Point,2.8549880981445312,43990.615906607425,17733.750000000025,300,867,3
Multi Point,2.9669878482818604,41736.1185829101,18175.500000000025,300,821,3
Multi Point,2.9035282135009766,46526.869402960925,17049.749999999975,300,919,2
Multi Point,2.9678962230682373,39246.007480436754,15818.249999999953,300,774,2
Multi Point,2.8659451007843018,38836.1732214525,16370.249999999985,300,765,3
Multi Point,3.041804552078247,38923.12527900456,16185.750000000027,300,767,4
Multi Point,3.0729808807373047,42277.675784342304,21085.499999999996,300,828,3
Multi Point,2.951188564300537,41830.06858291011,19584.749999999978,300,821,3
Multi Point,3.143440008163452,41811.12064046216,17811.000000000022,300,823,4
Multi Point,2.953247308731079,43543.94944619097,22949.999999999956,300,851,2
Multi Point,2.9535715579986572,37942.58073226,15620.999999999982,300,748,3
Multi Point,3.159501314163208,40429.158199837475,14955.749999999965,300,799,4
Multi Point,3.0771853923797607,35256.17723590651,14033.25000000003,300,696,3
Arithmetic,3.0537502765655518,51619.30951818443,22416.566902242124,300,1014.3585945438971,3
Arithmetic,3.0405774116516113,51803.54423933328,23148.683907000875,300,1017.086169866505,4
Arithmetic,2.9224133491516113,54628.8041462326,22745.724452454415,300,1074.529569144321,3
Arithmetic,2.8289308547973633,50437.01015157653,19333.58748077978,300,994.6859426521673,3
Arithmetic,2.95778751373291,51424.36198002589,23525.84064396743,300,1008.9428130874203,3
Arithmetic,2.9631965160369873,51936.94234870993,18443.600525339225,300,1026.0904210540778,4
Arithmetic,2.8756065368652344,52639.97991929537,20539.193286168553,300,1037.4362360435573,3
Arithmetic,2.9762656688690186,50428.57756777497,22504.96683418146,300,990.2578798416241,5
Arithmetic,3.0116543769836426,54767.652516698545,23191.864624822272,300,1076.7270199323052,6
Arithmetic,3.0947418212890625,52738.41819499021,20549.80110291296,300,1039.4045958202041,4
Arithmetic,3.0057716369628906,53757.74129816472,23952.75475790742,300,1055.36518204994,4
Arithmetic,2.9579453468322754,52136.66246297621,23207.393418192456,300,1023.7165310965848,3
Arithmetic,2.923210382461548,54057.47399991268,21827.412702983464,300,1064.2556760227321,4
Arithmetic,2.986419916152954,48802.03123555038,22598.96705450972,300,957.3720957233279,2
Arithmetic,2.998258352279663,51074.86006495957,21410.057097890556,300,1004.7445178295009,4
Arithmetic,3.046643018722534,53576.385465268366,20011.012413848915,300,1057.0051680089055,2
Arithmetic,3.0223450660705566,52821.270129773344,22633.337798453926,300,1038.2757065913613,4
Arithmetic,3.073373317718506,53028.95464042994,21839.7699993702,300,1043.524118094998,3
Arithmetic,3.1097450256347656,54159.965798838035,22592.25708684854,300,1065.2929591285201,5
Arithmetic,2.9455337524414062,53245.55771179091,25359.765672121204,300,1043.1603128070165,5
Arithmetic,3.0994975566864014,55127.723868180496,21682.197049638984,300,1086.0060996986563,5
Arithmetic,2.924654245376587,54182.34846729228,22267.744482824666,300,1066.1794833988306,5
Arithmetic,3.101335287094116,51639.699633505115,22373.572532904233,300,1014.8269918195059,3
Arithmetic,2.8005518913269043,48365.1944521491,20010.34209573992,300,952.0497128308804,3
Arithmetic,2.9486422538757324,56498.24769679249,22160.917849650137,300,1112.9610047047872,6
Arithmetic,3.1693484783172607,52317.014324628675,24394.714179699095,300,1025.7546992214625,3
Arithmetic,2.863631010055542,54840.057871132216,21566.120071426572,300,1080.3681997651652,3
Arithmetic,3.0056722164154053,53579.66209728017,21540.252167922412,300,1055.0178439320666,4
Arithmetic,3.0277559757232666,52355.34834384709,22091.998111954763,300,1029.6186357493464,2
Arithmetic,2.8278274536132812,47697.38221368589,18656.046793911944,300,940.4180125570916,3
Arithmetic,2.983746290206909,48364.804125526476,20546.504531162074,300,951.3219436410993,2
Arithmetic,3.04236102104187,50476.42744580265,19327.83012736183,300,995.4875598344989,2
Arithmetic,3.0423600673675537,48499.07635204049,19587.66519286734,300,955.3137007900008,4
Arithmetic,2.8548452854156494,53707.42041247885,22108.563980200215,300,1056.8278942625886,6
Arithmetic,2.962705612182617,53864.68791975205,22760.73448670489,300,1059.1196790717115,4
Arithmetic,2.8179430961608887,51872.89721821598,22031.602684730635,300,1019.982888502813,5
Arithmetic,2.876929759979248,54671.24768357976,20735.778187480784,300,1078.083170335708,4
Arithmetic,2.840425491333008,48240.86357288287,16837.099233714343,300,953.8063460169165,2
Arithmetic,3.026108741760254,52639.30582784541,22496.79507503361,300,1034.7941784546592,6
Arithmetic,3.092839479446411,52910.18460702072,22695.361069759598,300,1039.9832158733157,4
Arithmetic,2.9737460613250732,51738.63625499673,20997.007270605503,300,1018.6679522926207,4
Arithmetic,2.861078977584839,52348.01439201574,21384.084120139833,300,1030.4214451829525,3
Arithmetic,2.9795985221862793,53271.73389977308,22100.635164364918,300,1048.0635657942626,5
Arithmetic,2.8533637523651123,55306.29990658163,21406.10531998543,300,1089.97313190079,3
Arithmetic,2.9578239917755127,53130.47240220202,22292.681587606443,300,1044.9606171494563,3
Arithmetic,3.1275007724761963,52516.41125724777,21842.4671622606,300,1033.1975809278752,5
Arithmetic,2.900224208831787,53682.273618097446,26203.387112654564,300,1050.8232854848623,3
Arithmetic,2.8938469886779785,51324.88994387963,21932.868835840203,300,1009.0782802582188,3
Arithmetic,3.0650508403778076,54194.29669924686,21585.903257827144,300,1067.3356389717599,5
Arithmetic,3.120321273803711,52996.587846880575,23413.606231571197,300,1040.7590352273548,2
Geometric,3.0349345207214355,53476.24867733942,23283.43276485093,300,1050.5944620777507,7
Geometric,3.008800506591797,49812.05841231293,21232.155508541884,300,979.5498425623898,2
Geometric,3.0965423583984375,51773.958383835954,23162.963619888265,300,1016.4711204484108,3
Geometric,3.0143651962280273,54498.8648545865,22467.335031988106,300,1072.2863125654744,5
Geometric,3.03728985786438,55218.38845630154,22404.838160555446,300,1086.8618425726174,6
Geometric,3.0884604454040527,54633.55121995747,23666.951584370792,300,1073.3882419694398,5
Geometric,3.0337114334106445,55527.590651858365,20580.105100223835,300,1095.5378825785137,4
Geometric,2.97302508354187,53572.310262045874,24125.184462228193,300,1051.3989731999973,4
Geometric,3.10496187210083,55439.27794788921,23557.448229628924,300,1089.7628143558945,5
Geometric,2.9538276195526123,51329.25714638029,20917.914788718583,300,1010.5290217114732,4
Geometric,2.9512455463409424,54061.18406406401,20848.20769332986,300,1065.6451819368885,4
Geometric,3.116598606109619,51777.844750681776,19958.649850419257,300,1020.8518410532461,6
Geometric,3.0681278705596924,52799.99129622657,21802.648963068063,300,1038.9625085164414,3
Geometric,2.888831853866577,53568.15563675582,20079.59051981056,300,1056.7473344340751,3
Geometric,3.208843946456909,52520.653426743345,19718.12208657798,300,1036.1353886256584,2
Geometric,3.106447219848633,51378.1516841917,19519.74130372951,300,1013.3911195769248,4
Geometric,2.9138433933258057,54790.31186201468,22864.99864084735,300,1077.6222765263824,7
Geometric,3.0388846397399902,53589.60651995174,19911.2475598532,300,1057.4054023130002,7
Geometric,3.010185480117798,53072.21550339727,24507.647811317183,300,1040.8132446015945,5
Geometric,3.0635550022125244,55337.15390023134,22862.371223832015,300,1088.6395123650516,3
Geometric,3.0996153354644775,56193.05092759121,24436.809249566904,300,1103.7603769515845,5
Geometric,2.9447131156921387,52665.48974067262,21447.820959068118,300,1036.729999784602,4
Geometric,3.071831226348877,51800.7195403244,21218.313175139436,300,1019.6211965561431,2
Geometric,2.9839963912963867,54416.60678571574,21551.856030199007,300,1071.858806108077,3
Geometric,3.2378487586975098,49225.24722867013,19203.463474318105,300,970.4550652907068,3
Geometric,3.0552985668182373,52238.33473164696,21899.93731876352,300,1027.519795868489,3
Geometric,3.0212137699127197,55074.988449546094,23250.22191795181,300,1082.8385840654012,6
Geometric,3.1011648178100586,53439.861271364134,20803.095532568987,300,1053.191959303678,3
Geometric,3.209045171737671,55651.44055318957,27340.84269991372,300,1088.9560892971335,5
Geometric,3.209214210510254,52080.87081566802,19199.384915241,300,1027.9744271516472,5
Geometric,3.655672311782837,52215.23984736738,21074.93271461586,300,1028.1623892537646,6
Geometric,3.0787770748138428,55421.244305031374,21732.27578378815,300,1091.8498069912052,5
Geometric,3.1262991428375244,47329.91691420065,18197.119430320534,300,933.6332560230011,2
Geometric,2.9757673740386963,53378.42255759735,25205.0432068501,300,1046.0440330511706,5
Geometric,3.115424633026123,51036.75427234411,22429.05927708999,300,1002.6088265086407,3
Geometric,3.033266067504883,52548.52203430449,21890.16493166063,300,1033.7802662513527,4
Geometric,2.960803985595703,51120.637874730135,19446.137810287604,300,1008.303472530612,2
Geometric,3.099198341369629,53843.88006221057,23014.07265828828,300,1058.360438630785,4
Geometric,2.91861629486084,55952.01218099316,23627.75904674321,300,1099.9928778700903,5
Geometric,3.054628849029541,56485.76539033512,24045.294423162733,300,1110.1800651062913,4
Geometric,3.0949525833129883,50710.74916204209,20708.837192549952,300,998.3526480726888,2
Geometric,3.252134323120117,48291.61624548359,20156.51087855069,300,950.3715443368877,3
Geometric,3.0331835746765137,56718.40752405705,23444.80190790926,300,1115.6706655655507,5
Geometric,3.1248512268066406,55495.83210880248,21097.5685208425,300,1094.203745455526,4
Geometric,2.9732532501220703,51074.32310360102,20741.863732298043,300,1005.6308894535977,2
Geometric,2.9488794803619385,53001.36399257482,21888.389653899514,300,1042.9031448963121,5
Geometric,2.8246076107025146,56162.5166641642,22716.28822730674,300,1105.4551717841925,3
Geometric,2.874411106109619,53169.38026186997,21591.626046813908,300,1046.6855541312686,5
Geometric,2.8235280513763428,52761.60706722616,22486.90885764407,300,1037.270669346615,4
Geometric,2.995763063430786,55639.90196775172,21238.888486491644,300,1096.9150367573493,5
